transactionID,dateTime,customerID,productID,categoryID,storeID,salesPersonID,productValue
96554,66665760,62213,2994,71,22,211,4.8
96677,116621520,,6759,163,8,284,15.8
96677,116621520,,1698,40,8,284,27.9
97401,24743940,,5597,140,7,155,15
100644,29604960,160320,1669,91,9,,24.3
105119,116766420,59875,5168,24,8,17,4.9
105119,116766420,59875,6842,76,8,17,18.9
105119,116766420,59875,1688,134,8,17,12.9
109022,6457800,,2824,49,32,,18.5
110380,29681040,,5767,36,5,141,30
113658,2985180,,841,69,7,,4.5
116385,3157200,,360,36,28,,10
117156,29768280,,5781,36,11,34,10.5
119619,13168260,,3519,71,27,,16.6
126907,3499560,,4102,71,8,,14.5
128921,27343800,,6973,91,22,122,12.2
128921,27343800,,743,91,22,122,15
128921,27343800,,5446,94,22,122,8.15
128921,27343800,,5445,94,22,122,9.85
129140,23728560,,6532,75,11,97,12.5
129140,23728560,,6531,75,11,97,12.5
129843,20096700,,5538,140,1,,4
134069,14303580,,5171,24,23,,4.2
135923,80393640,56714,8465,136,22,198,10.5
135923,80393640,56714,2994,71,22,198,4.8
135923,80393640,56714,5904,71,22,198,3.4
138634,70885380,64359,6087,92,27,217,25.5
138634,70885380,64359,6098,92,27,217,27.5
138634,70885380,64359,8475,68,27,217,20.5
138634,70885380,64359,6355,71,27,217,8
138634,70885380,64359,5994,71,27,217,5
140440,25014600,144252,5583,99,8,118,9.32
140440,25014600,144252,5393,131,8,118,20.03
141652,29089200,131001,5186,44,16,127,4.78
141652,29089200,131001,4260,127,16,127,6.88
141652,29089200,131001,4364,127,16,127,9.54
141652,29089200,131001,5489,125,16,127,21.52
141652,29089200,131001,6228,48,16,127,30.24
141652,29089200,131001,5477,48,16,127,9.92
141652,29089200,131001,2859,48,16,127,14.32
141652,29089200,131001,5401,132,16,127,6.8
141652,29089200,131001,2195,49,16,127,11.12
141652,29089200,131001,5769,164,16,127,28
146723,13094940,,3983,75,28,,13
152780,5589540,,320,170,26,,20
154722,1533300,,5233,133,22,,11.9
155070,14997420,,1608,75,1,,12
160487,2041560,,1989,75,8,,14.85
160487,2041560,,1761,76,8,,14.85
165520,91819080,,7071,109,20,274,14.2
172989,23630400,,6532,75,22,,17
173518,59487120,,8442,110,38,142,5
173718,27781080,,4552,146,15,1,14.9
176914,7308900,,2733,71,16,,3.4
176914,7308900,,2441,75,16,,16.5
179751,30286440,,2441,75,9,,17
